incoming,your_reply
The idea itself should be unique and rarely done. Something like that.,"Yeah bro, we have to enhance,  let's think about that"
Also we should take project members only if they have certain skills.,Yeah that's what important
"Like if we are required for a particular technology, ex: C. They should be knowing it. We can't take someone and let them learn during the project from basic. <This message was edited>",Yeah yeah right!
"Let's see, i will check with chatgpt also.",OK bro
Anyway it's getting late. You have to play cricket tomorrow morning so bye.,Yeah bro bye 👋
"If you have any doubts, ask me.",OK bro
"This is related to clouding. It includes the cloud services concepts. Like scalability, which the last speaker spoke about. Do you remember it?",Yeah yeah getting that
working wait a min,OK bro
No bro  I didn't come,OK bro
You are not in class?,I am
<Media omitted>,No bro I am in claas
I have gone but don't remember much what they used to ask.,Don't know bro
Okk.,Why you didn't come bro?
Nothing like that.,OK
I will afterwards,OK
Sowmya ma'am sent this,OK bro
Tomorrow is there a DSA lab test?,Yeah ma'am informed
First 2 programs?,To get blue books without fail
Blue or yellow?,Sorry yellow 😂
Infix to postfix and evaluate postfix right?,Right
This,Is the logic complex or understandable?
Have to see.,Lab
When should we submit that?,"Don't know bro,  she didn't inform anything about this in college"
What are we talking about?,BTW DS 2nd module completed today
Linked list?,Ma'am did a Lil bit complex and lengthy program to end the 2nd module
Which one?,"Some tower of Hanoi or recursion kind of problem,  I will send you evening"
So this has nothing to do with tomorrow's test right?,"Important :- you have to sign the undertaking form tomorrow and get it  signed with your hod and mentor,  they will give  a slip kinda,  that you need to show bro"
We attended....,Morning OS sir also asked itseems
Then what's the point of attending all.,Ma'am said
I ain't doing it. I will see tomorrow what it's all about.,OK bro I think tomorrow they will forget
Let's see.,Yes bro
What did we ma'am do in class?,"Even I felt very bad,  that Vinay was absent for just one session,  then also web ma'am asked him to give the letter"
Let's see.,"Nothing bro , half an hour went on this undertaking only and another half an hour she was sharing her life stories"
What 🤣,Yes
What's her life story about?,I think she didn't prepared for today's class
Tell me about it tomorrow then 😆,Haha nothing interesting bro
I meant if she shared any educational or career related things.,She didn't tell about tht
"Hmm, i thought of asking about it, in the near future. I'm interested in those things actually that's why.","I think she is doing,  I saw in college website"
Okay.,PhD?
Yeah.,Nothing bro
I like to know the extent of knowledge a person has or can have.,OK nice
It could help us to know about technologies that we might not have heard of.,Hmm yes yes right
But the rules allow only 3 per college.,Nice
Won't you participate?,OK
I'm thinking of coding and quiz.,What was that competition about?
"Coding, they will give you a problem and you code it. And the quiz is just a tech quiz I guess.",OK
They have registration fees. In my degree college they used to pay the registration fees. Don't know whether BIT will pay.,OK how much?
*200,You are always. OK that's also correct
We may clear the first round. Depends on the final rounds.,OK bro
Really 🥺,"Yes,  SIT is in tumkur"
"Starts from 9 in the morning, we can't.",Hmm we can't reach at that time
Offline only.,Yes I checked now
That's why they have mentioned the place as college.,Yes
It will take hrs to reach there.,Yeah minimum 2-3hrs from Bangalore
"Okay, let's wait for the next, then.",OK bro
Ok,Let's participate if any
Sure,👍
Class room number!,Same
312 right?,Yes
For yellow book,It will open by 11 bro
Lab at 10,"Wait I have one,  I will give you"
Oh thank you very much 😌🙏🏻,😊
I will buy more just for the future from the store.,"I will come by 9, but I have to write observation"
Web?,C
Came early for the book 😅,OK bro
Bro you know what is proctor?,No bro
My mentor has asked to fill the proctor today or tomorrow. So don't know what it is. Need to check with him tomorrow.,"OK bro. I think that's a mentor book,  our mentor was saying about that but I don't know much about that"
"Maybe, I will check tomorrow.",OK bro
Now everywhere AI.,OK its nice
All three use the same AI.,Yeah yeah
Yes!,Haha OK
But for realistic best AI has to be X's Grok. (Free),Oh OK I am unaware of that
"All AI always mistakes Indians as just brown skin and similar looks. But man, Grok can easily make variations in Indians.","Oh that's nice bro,  I will try it"
10 images per hour I think.,OK 👏
"It's because they didn't mined Indian data very well. That's why, Indians all look the same.",Interesting nice
"Check it once, it worked for me.","Ok bro, this looks lil bit easy, i will check"
Yeah it's easy.,Ok bro
"Yes, it's about research papers, i didn't know anything about it.",Same here
No use for us for now. We are writing papers right now.,Yes
No sleeping now 😴 Will see morning,Ok bro. Now only you slept
😅,Oh ok bro. Even i couldn't work anything today.
I understand 👍🏻,Ok bro
What was he doing?,"Yes, i was shocked, nobody noticed him"
You met or you were passing while you saw him?,"I was in bus, and he was waiting in a bus stop"
In majestic?,"I thought of calling him from my bus, but cou;dn't"
Oh okay.,Yeah
"Missed opportunity, but can't help if you were in a moving bus.","Yeah,"
"He is 5,7 i think",Maybe
"No, he is 5,9 it seems, Virat's height.",Oh OK
Send me your instagram id.,You deleted this message
Hmm,crazylad3008
Requested,My internet is fucking i don't know why
Haha it's acting weird.,Done bro
"Hike messenger failed due to its way ahead of time features, we could make our own chat application and sell it as India's own chat application or with unique and simple features that hooks up Indians. Another start up idea. We should keep updating our chat application more and more. Who knows tomorrow it might become what I'm saying.",Yes that's right
6th floor.,Ol
You?,Ok
<Media omitted>,Saw the video
"The reference, I meant.",Bahubali.... I didn't get it
"There were other girls filling the book, So I left.","Oh shit,  these girls"
"Sorry I messed up the grammar, bear with me 😅","100 %, his aura never vanishes"
Yeah,Yes
"In mantri, I just missed the metro.",OK bro
<Media omitted>,Bro who took last class
OS,Oh shit
He started the 7th chapter when there was only 2 mins left.,OK bro
Yeah after everyone started to ask to take attendance then he took attendance and left us. <This message was edited>,What about attendance
DS ma'am asked about you.,At what time you guys left college then?
"Don't remember, a couple of mins late I guess.",OK
"I remember now, 10 mins later he left us. <This message was edited>",OK bro I think I was absent for the first Dsa class
Maybe that's why she was shocked.,OK bro
Nope.,"Start it bro, because we need to submit within 5th"
"I have to learn them, then only I can write them.","No, actually when you write, you can learn bro. So do that."
Will see.,Ok
<Media omitted>,Notes?
Okay.,OK
Will you attend maths class?,Yes bro
😔,Oh bro now people have come
Okay leave can't do anything now.,Oh
1st class late.,Otherwise I would have called you
Attended lab.,OK
Ok bye bro.,Haha OK bro
Any idea syllabus for test?,I didn't attend the morning class today
"Don't know why I'm not getting the forward option for it. Maybe because I'm on a mobile network, let me check once I get a wifi network.",Just some graphs bro
Ok got it.,OK bro
I have wifi issues so I'm choosing an easy one - C,OK bro
"Anyway ma'am have sent both modules, so no need for internet.",Yeah OK
Are you starting?,Yes bro
Alright 👍🏻,and side by maths
I keep maths at the end.,Too much is there so
"Hmm, i don't know anything so wasting time on one is not feasible for me. So i will prepare for all, and will try to pass in math.",OK bro
What will I do there?,Bro have to submit by Wednesday
Let me try with chatgpt once and see.,Oh really
Let me try with gpt once. If not I will ask you.,Sure 👍
Math.,Ok
Anything we need to show tomorrow? What about the OS assignment? Where should we write it? I'm confused between the blue book and the normal note.,By miss call came
